Generic Name,Brand Name,Can Crush?,Category,Notes / Source
Citalopram,Cipramil / Recital 20mg/40mg,Yes,ALLOWED,"Immediate-release scored film-coated tablet. Can be crushed. (Micromedex)"
Clarithromycin,Klacid / Klarin 250mg/500mg,Yes (IR),ALLOWED,"Immediate-release tablets can be crushed. Extended-release (Klacid XL) MUST NOT be crushed. (Micromedex)"
Clindamycin,Dalacin C 150mg/300mg,Yes,ALLOWED,"Capsules can be opened and contents mixed with water or food. (Micromedex)"
Clonazepam,Rivotril / Clonex 0.5mg/2mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Clopidogrel,Plavix 75mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex / Open Evidence)"
Clozapine,Leponex / Lozapine 25mg/100mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. Handling caution advised. (Micromedex)"
Colchicine,Colchicine 0.5mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Dabigatran,Pradaxa 75mg/110mg/150mg,No,FORBIDDEN_CRITICAL,"DO NOT open capsule or crush. Opening increases bioavailability by 75% causing severe fatal bleeding risk. (Micromedex / Open Evidence)"
Dapagliflozin,Forxiga / Dapamed 5mg/10mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed or split. (Micromedex)"
Dexamethasone,Dexamethasone 0.5mg/2mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Diazepam,Assival / Valium 2mg/5mg/10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Diclofenac Sodium,Voltaren / Abitren / Cataflam 25mg/50mg/100mg,No (SR/EC),ENTERIC_COATED,"Enteric-coated (EC) or sustained-release (SR/Retard) tablets MUST NOT be crushed. Cataflam immediate-release can be crushed. (Micromedex)"
Digoxin,Lanoxin 0.25mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. High potency drug. (Micromedex)"
Diltiazem,Dilatam / Adizem 30mg/60mg/90mg/120mg/240mg,No (SR/CD),FORBIDDEN_CRITICAL,"Extended-release capsules/tablets MUST NOT be crushed. Plain 30mg/60mg immediate-release tablets can be crushed. (Micromedex)"
Donepezil,Aricept / Memorit / Asenta 5mg/10mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Doxazosin,Cardura / Cadex 1mg/2mg/4mg,Yes (IR),ALLOWED,"Immediate-release tablets can be crushed. Extended-release (Cardura XL) MUST NOT be crushed. (Micromedex)"
Doxycycline,Doxylin 100mg,Yes,ALLOWED,"Immediate-release capsule/tablet. Capsules can be opened, tablets crushed. Take with full glass of water. (Micromedex)"
Duloxetine,Cymbalta 30mg/60mg,No,FORBIDDEN_CRITICAL,"Delayed-release capsule with enteric-coated pellets. Do not crush or chew pellets. (Micromedex)"
Dutasteride + Tamsulosin,Duodart 0.5mg/0.4mg,No,FORBIDDEN_CRITICAL,"Do not chew or crush. Teratogenic risk upon handling capsule contents. (Micromedex)"
Dutasteride,Avodart 0.5mg,No,FORBIDDEN_CRITICAL,"Soft gelatin capsule. Do not open or crush. Teratogenic hazard to females. (Micromedex)"
Empagliflozin,Jardiance 10mg/25mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed or split. (Micromedex)"
Empagliflozin + Linagliptin,Glyxambi 10/5mg 25/5mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Empagliflozin + Metformin,Jardiance Duo 5/850mg 5/1000mg 12.5/1000mg,Yes,ALLOWED,"Immediate-release combination tablet. Can be crushed. Take with food. (Micromedex)"
Enalapril Maleate,Enalapril / Convertin / Enaladex / Enapril 5mg/10mg/20mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed or split. (Micromedex / Open Evidence)"
Entacapone,Comtan 200mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. Bitter taste. (Micromedex)"
Erythromycin,Eryc / Erythrocin 250mg/500mg,Depends,ENTERIC_COATED,"Plain base/stearate tablets can be crushed. Enteric-coated pellets MUST NOT be crushed. (Micromedex)"
Escitalopram,Cipralex / Esto 10mg/15mg/20mg,Yes,ALLOWED,"Film-coated scored tablet. Can be crushed. (Micromedex)"
Esomeprazole,Nexium 20mg/40mg,No (Pellets),ENTERIC_COATED,"Enteric-coated pellets. Do not crush pellets. Can disperse tablet in water for NG tube. (Micromedex)"
Etodolac,Etopan / Etopan XL 300mg/400mg/600mg,No (XL),FORBIDDEN_CRITICAL,"Etopan XL extended-release MUST NOT be crushed. Plain Etopan tablets can be crushed. (Micromedex)"
Etoricoxib,Arcoxia 60mg/90mg/120mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Ezetimibe,Ezetrol / Ezecor / Ezetor 10mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Famotidine,Gastro / Rogasti 20mg/40mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Febuxostat,Feburic 80mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Felodipine,Penedil SR 2.5mg/5mg/10mg,No,FORBIDDEN_CRITICAL,"Extended-release (SR) formulation. Do not crush or chew. (Micromedex)"
Fexofenadine,Telfast 120mg/180mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. Avoid mixing with fruit juices. (Micromedex)"
Finasteride,Pro-Cure / Propecia 1mg/5mg,No,FORBIDDEN_CRITICAL,"Crushed/broken tablets should not be handled by pregnant women due to teratogenic risk. (Micromedex)"
Flecainide,Tambocor 50mg/100mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Fluconazole,Diflucan / Flucanol / Trican 50mg/150mg,Yes,ALLOWED,"Capsules can be opened, tablets crushed. (Micromedex)"
Fludrocortisone,Florinef / Astonin 0.1mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Fluoxetine,Prozac / Prizma / Flutine / Affectine 20mg,Yes,ALLOWED,"Immediate-release capsule/tablet. Capsules can be opened and mixed with liquids. (Micromedex)"
Flutamide,Eulexin 250mg,No,FORBIDDEN_CRITICAL,"Oncology hazardous drug. Handle with caution, do not crush. (Micromedex)"
Fluvoxamine,Favoxil 50mg/100mg,Yes,ALLOWED,"Immediate-release film-coated scored tablet. Can be crushed. (Micromedex)"
Folic Acid,Folex 400mcg/5mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Furosemide,Fusid / Lasix 40mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. Light sensitive. (Micromedex)"
Gabapentin,Neurontin 300mg/400mg/600mg,Yes,ALLOWED,"Capsules can be opened and contents mixed with food. Tablets can be crushed. (Micromedex)"
Galantamine,Reminyl 4mg/8mg/12mg,No (ER),FORBIDDEN_CRITICAL,"Extended-release capsules (Reminyl ER) MUST NOT be crushed or opened. (Micromedex)"
Glibenclamide,Glibetic / Gluben 5mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Glimepiride,Amaryl 1mg/2mg/3mg/4mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Haloperidol,Halidol / Peridor 0.5mg/1mg/5mg/10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Hydrochlorothiazide,Disothiazide / Disothia 25mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Hydroxychloroquine,Plaquenil 200mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed, bitter taste. (Micromedex)"
Hydroxyurea,Hydrea 500mg,No,FORBIDDEN_CRITICAL,"Cytotoxic hazardous drug. Capsules should not be opened or crushed without strict safety protocols. (Micromedex)"
Ibuprofen,Artofen / Nurofen / Adex 200mg/400mg/600mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Imipramine,Primonil / Tofranil 25mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Indapamide,Pamid 2.5mg,Yes,ALLOWED,"Immediate-release tablet can be crushed. Sustained-release forms (SR) MUST NOT be crushed. (Micromedex)"
Indometacin,Indomed / Indovis 25mg/75mg,No (SR),FORBIDDEN_CRITICAL,"Sustained-release (SR) capsules MUST NOT be opened/crushed. Plain capsules can be opened. (Micromedex)"
Isosorbide Dinitrate,Cordil / Isocardide 5mg/10mg/20mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. Extended-release forms MUST NOT be crushed. (Micromedex)"
Isosorbide Mononitrate,Monocord / Monolong / Isotard 20mg/40mg/50mg/60mg,No (SR),FORBIDDEN_CRITICAL,"Sustained-release (SR/Retard) formulations MUST NOT be crushed. Plain immediate-release tablets can be crushed. (Micromedex)"
Lacosamide,Vimpat 50mg/100mg/150mg/200mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Lamotrigine,Lamictal / Lamodex 5mg/25mg/50mg/100mg/200mg,Yes,ALLOWED,"Immediate-release or dispersible/chewable tablet. Can be crushed or dissolved in water. (Micromedex)"
Lercanidipine,Vasodip / Lercapress 10mg/20mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Letrozole,Femara 2.5mg,No,FORBIDDEN_CRITICAL,"Oncology drug. Crushed tablets should not be handled by pregnant staff. (Micromedex)"
Levetiracetam,Keppra 250mg/500mg/1000mg,Yes,ALLOWED,"Film-coated scored tablet. Can be crushed. Extremely bitter taste. (Micromedex)"
Levodopa + Carbidopa + Entacapone,Stalevo 50mg/100mg/150mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed immediately prior to administration. (Micromedex)"
Levofloxacin,Tavanic 500mg/750mg,Yes,ALLOWED,"Film-coated scored tablet. Can be crushed. (Micromedex)"
Levothyroxine,Eltroxin / Euthyrox / Synthroid 25mcg/50mcg/100mcg/200mcg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed and mixed with water immediately before use. (Micromedex)"
Linagliptin,Trajenta 5mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Lisinopril,Tensopril / Mepril / Lisinopril 5mg/10mg/20mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Lithium Carbonate,Licarbium 300mg,No (CR),FORBIDDEN_CRITICAL,"Controlled-release tablets MUST NOT be crushed. Plain immediate-release tablets can be crushed. (Micromedex)"
Loratadine,Lorastine / AllergyX 10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Lorazepam,Lorivan 1mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Losartan,Ocsaar / Lotan / Losardex 12.5mg/50mg/100mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Losartan + Hydrochlorothiazide,Ocsaar Plus / Losardex Plus 50/12.5mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Memantine,Ebixa / Memox 5mg/10mg/20mg,Yes,ALLOWED,"Film-coated scored tablet. Can be crushed. (Micromedex)"
Metformin,Glucophage / Glucomin / Apophage 500mg/850mg,Yes (IR),ALLOWED,"Immediate-release tablets can be crushed. Extended-release (XR/SR) MUST NOT be crushed. (Micromedex)"
Methotrexate,Abitrexate 2.5mg,No,FORBIDDEN_CRITICAL,"Cytotoxic/teratogenic hazardous drug. Do not crush due to occupational inhalation risk. (Micromedex)"
Methyldopa,Aldomin 250mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Methylphenidate,Ritalin / Concerta 10mg/18mg/20mg/36mg/54mg,No (LA/Concerta),FORBIDDEN_CRITICAL,"Concerta / Ritalin LA / SR formulations MUST NOT be crushed. Plain 10mg immediate-release can be crushed. (Micromedex)"
Metoclopramide,Pramin 10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Metoprolol,Lopressor / Neobloc 95mg/100mg/190mg/200mg,No (CR),FORBIDDEN_CRITICAL,"Controlled-release (CR/ZOK) MUST NOT be crushed. Plain immediate-release tablets can be crushed. (Micromedex)"
Metronidazole,Flagyl / Metrogyl 250mg/500mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. Bitter metallic taste. (Micromedex)"
Midodrine,Gutron 2.5mg/5mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Mirabegron,Betmiga 25mg/50mg,No,FORBIDDEN_CRITICAL,"Extended-release tablet. Must be swallowed whole with fluids. Do not crush or chew. (Micromedex)"
Mirtazapine,Remeron / Miro 30mg/45mg,Yes,ALLOWED,"Film-coated scored tablet. Can be crushed. SolTabs dissolve on tongue. (Micromedex)"
Montelukast,Singulair 4mg/5mg/10mg,Yes,ALLOWED,"Film-coated or chewable tablet. Can be crushed or chewed. (Micromedex)"
Nifedipine,Adalat / Pressolat / Osmo-Adalat 10mg/20mg/30mg/60mg,No (CR/LA),FORBIDDEN_CRITICAL,"Osmotic/controlled release (Osmo-Adalat/CC) MUST NOT be crushed. Can cause severe hypotension. (Micromedex)"
Nitrofurantoin,Macrodantin / Uvamin 50mg/100mg,Yes,ALLOWED,"Capsules can be opened and contents mixed with food/milk to reduce stomach upset. (Micromedex)"
Olanzapine,Zyprexa / Zappa 2.5mg/5mg/7.5mg/10mg/15mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. Handling caution advised. (Micromedex)"
Omeprazole,Losec / Omepradex 10mg/20mg/40mg,No (Pellets),ENTERIC_COATED,"Delayed-release capsule/tablet containing enteric-coated pellets. Do not crush pellets. (Micromedex)"
Oxazepam,Vaben 10mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Oxycodone,OxyContin / Percocet / Oxycodone 5mg/10mg/20mg/40mg/80mg,No (OxyContin),FORBIDDEN_CRITICAL,"OxyContin extended-release MUST NOT be crushed (fatal overdose risk). Plain Percocet IR can be crushed. (Micromedex)"
Oxycodone + Naloxone,Targin 5/2.5mg 10/5mg 20/10mg 40/20mg,No,FORBIDDEN_CRITICAL,"Controlled-release tablet. Do not crush or chew. Destroys controlled release mechanism. (Micromedex)"
Paracetamol,Acamol / Dexamol / Rokamol 250mg/500mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Paracetamol + Codeine,Cod-Acamol / Rokacet 500/30mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed. (Micromedex)"
Paroxetine,Seroxat / Paxxet / Parotin 20mg/30mg,Yes,ALLOWED,"Immediate-release film-coated scored tablet. Can be crushed. (Micromedex)"
Penicillin V,Rafapen VK / V-Pen / Pen-Rafa 250mg/500mg/1000mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Pentoxifylline,Trental / Oxopurin 400mg,No,FORBIDDEN_CRITICAL,"Sustained-release tablet. Must be swallowed whole to prevent rapid drug release. (Micromedex)"
Phenytoin,Epanutin 50mg/100mg,Yes,ALLOWED,"Immediate-release chewable tablet or capsule contents can be mixed with food. Stop tube feeds 1-2h before/after. (Micromedex)"
Pramipexole,Sifrol / Sifrol ER 0.25mg/1mg/1.5mg,No (ER),FORBIDDEN_CRITICAL,"Extended-release (Sifrol ER) MUST NOT be crushed. Plain immediate-release tablets can be crushed. (Micromedex)"
Pravastatin,Lipidal / Pravalip 10mg/20mg/40mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Prednisone,Prednitone 1mg/5mg/20mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Pregabalin,Lyrica 25mg/50mg/75mg/100mg/150mg/300mg,Yes,ALLOWED,"Capsules can be opened and contents dispersed in water or mixed with food. (Micromedex)"
Propranolol,Deralin / Prolol / Slow Deralin 10mg/40mg/80mg/160mg,Yes (IR),ALLOWED,"Immediate-release Deralin tablets can be crushed. Extended-release (Slow Deralin) MUST NOT be crushed. (Micromedex)"
Propylthiouracil,PTU 50mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Pyridostigmine,Mestinon 60mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Pyridostigmine Extended-Release,Mestinon Timespan / Mestinon SR 180mg,No,FORBIDDEN_CRITICAL,"Extended-release (Timespan/SR) 180mg formulation. Do not crush or chew. Risk of severe cholinergic crisis. (Micromedex)"
Quetiapine,Seroquel / Seroquel XR 25mg/100mg/150mg/200mg/300mg,No (XR),FORBIDDEN_CRITICAL,"Seroquel XR extended-release MUST NOT be crushed. Plain Seroquel immediate-release can be crushed. (Micromedex)"
Ramipril,Tritace / Ramipril Plus 1.25mg/2.5mg/5mg,Yes,ALLOWED,"Immediate-release tablet/capsule. Capsules can be opened, tablets crushed. (Micromedex)"
Ranitidine,Zantac / Zantab / Zaridex 150mg/300mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Repaglinide,NovoNorm 0.5mg/1mg/2mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed right before meal. (Micromedex)"
Risperidone,Risperdal / Rispond / Risperidex 1mg/2mg/3mg/4mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Rivaroxaban,Xarelto 10mg/15mg/20mg,Yes,ALLOWED,"Immediate-release tablet. Can be crushed and mixed with water or applesauce immediately before administration. (Micromedex / Open Evidence)"
Rivastigmine,Exelon 1.5mg/3mg/4.5mg/6mg,Yes,ALLOWED,"Capsules can be opened and contents mixed with small amount of food. (Micromedex)"
Rosuvastatin,Crestor / Stator 5mg/10mg/20mg/40mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Sacubitril + Valsartan,Entresto 50mg/100mg/200mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed and mixed with water immediately prior to use. (Micromedex)"
Sertraline,Lustral / Serenada 50mg/100mg,Yes,ALLOWED,"Immediate-release film-coated scored tablet. Can be crushed. (Micromedex)"
Simvastatin,Simovil / Simvacor / Sivaxon 10mg/20mg/40mg/80mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
Sitagliptin,Januvia 25mg/50mg/100mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. (Micromedex)"
Sitagliptin + Metformin,Januet / Januet XR 50/500mg 50/850mg 50/1000mg,No (XR),FORBIDDEN_CRITICAL,"Januet XR extended-release MUST NOT be crushed. Plain Januet immediate-release can be crushed. (Micromedex)"
Sodium Valproate,Depalept / Depakine / Valporal 200mg/500mg,No (Chronosphere/EC),ENTERIC_COATED,"Enteric-coated tablets or Chrono CR forms MUST NOT be crushed. Plain forms can be crushed. (Micromedex)"
Solifenacin,Vesicare 5mg/10mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed. Bitter taste. (Micromedex)"
Spironolactone,Aldospirone / Aldactone 25mg/100mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Sulfasalazine,Salazopyrin 500mg,No,ENTERIC_COATED,"Enteric-coated tablet (Salazopyrin EN-tabs) MUST NOT be crushed. (Micromedex)"
Tamoxifen,Valodex / Tamoxen 10mg/20mg,No,FORBIDDEN_CRITICAL,"Oncology hazardous drug. Handle with caution, avoid crushing to prevent exposure. (Micromedex)"
Tamsulosin,Omnic / Omnic Ocas 0.4mg,No,FORBIDDEN_CRITICAL,"Modified-release capsule/tablet (Ocas/OC). Do not crush or chew granules. (Micromedex)"
Theophylline,Theotard / Theodur / Theotrim 100mg/200mg/300mg,No,FORBIDDEN_CRITICAL,"Extended-release formulation. Do not crush. High risk of fatal toxicity if modified. (Micromedex)"
Ticagrelor,Brilinta 90mg,Yes,ALLOWED,"Film-coated tablet. Can be crushed and dispersed in water. (Micromedex)"
Tramadol,Tramadex / Tramal / Zaldiar 50mg/100mg/200mg,Yes (IR),ALLOWED,"Immediate-release capsules/tablets can be crushed. Extended-release (Contramal/Tramal OD) MUST NOT be crushed. (Micromedex)"
Trazodone,Trazodil / Depyrel 25mg/50mg/100mg,Yes,ALLOWED,"Immediate-release scored tablet. Can be crushed. (Micromedex)"
Upadacitinib,Rinvoq 15mg/30mg/45mg,No,FORBIDDEN_CRITICAL,"Extended-release tablet. Swallow whole. Do not crush, chew, or break. (Micromedex)"
Valaciclovir,Valtrex 500mg,Yes,ALLOWED,"Film-coated scored tablet. Can be crushed. (Micromedex)"
Valsartan,Diovan / Vector / Co-Diovan 40mg/80mg/160mg,Yes,ALLOWED,"Immediate-release film-coated tablet. Can be crushed. (Micromedex)"
